device=cuda  bases=['dino', 'lejepa', 'visreg']  emb_dim=16  lam=5

################ base: DINO ViT-B/16 ################
  cached plain features: /home/pharris/sigreg/SuperSig/data/dtd_feats_dino_vitb16.pt
  cached aug bank: /home/pharris/sigreg/SuperSig/data/dtd_augfeats_dino_vitb16_a24.pt
--- [dino] ss[lam5]: SupCon + SIGReg on raw z ---
  [simclr+sigreg] epoch 50/120  nt-xent=5.1355  sigreg=0.0108
  [simclr+sigreg] epoch 51/120  nt-xent=5.1328  sigreg=0.0100
  [simclr+sigreg] epoch 52/120  nt-xent=5.1314  sigreg=0.0096
  [simclr+sigreg] epoch 53/120  nt-xent=5.1320  sigreg=0.0092
  [simclr+sigreg] epoch 54/120  nt-xent=5.1305  sigreg=0.0092
  [simclr+sigreg] epoch 55/120  nt-xent=5.1318  sigreg=0.0095
  [simclr+sigreg] epoch 56/120  nt-xent=5.1283  sigreg=0.0084
  [simclr+sigreg] epoch 57/120  nt-xent=5.1304  sigreg=0.0098
  [simclr+sigreg] epoch 58/120  nt-xent=5.1295  sigreg=0.0101
  [simclr+sigreg] epoch 59/120  nt-xent=5.1267  sigreg=0.0087
  [simclr+sigreg] epoch 60/120  nt-xent=5.1293  sigreg=0.0096
  [simclr+sigreg] epoch 61/120  nt-xent=5.1277  sigreg=0.0088
  [simclr+sigreg] epoch 62/120  nt-xent=5.1252  sigreg=0.0087
  [simclr+sigreg] epoch 63/120  nt-xent=5.1262  sigreg=0.0090
  [simclr+sigreg] epoch 64/120  nt-xent=5.1256  sigreg=0.0094
  [simclr+sigreg] epoch 65/120  nt-xent=5.1227  sigreg=0.0088
  [simclr+sigreg] epoch 66/120  nt-xent=5.1246  sigreg=0.0087
  [simclr+sigreg] epoch 67/120  nt-xent=5.1246  sigreg=0.0090
  [simclr+sigreg] epoch 68/120  nt-xent=5.1237  sigreg=0.0084
  [simclr+sigreg] epoch 69/120  nt-xent=5.1240  sigreg=0.0087
  [simclr+sigreg] epoch 70/120  nt-xent=5.1227  sigreg=0.0085
  [simclr+sigreg] epoch 71/120  nt-xent=5.1214  sigreg=0.0081
  [simclr+sigreg] epoch 72/120  nt-xent=5.1213  sigreg=0.0088
  [simclr+sigreg] epoch 73/120  nt-xent=5.1236  sigreg=0.0092
  [simclr+sigreg] epoch 74/120  nt-xent=5.1212  sigreg=0.0089
  [simclr+sigreg] epoch 75/120  nt-xent=5.1203  sigreg=0.0089
  [simclr+sigreg] epoch 76/120  nt-xent=5.1210  sigreg=0.0091
  [simclr+sigreg] epoch 77/120  nt-xent=5.1240  sigreg=0.0105
  [simclr+sigreg] epoch 78/120  nt-xent=5.1247  sigreg=0.0105
  [simclr+sigreg] epoch 79/120  nt-xent=5.1209  sigreg=0.0104
  [simclr+sigreg] epoch 80/120  nt-xent=5.1192  sigreg=0.0097
  [simclr+sigreg] epoch 81/120  nt-xent=5.1227  sigreg=0.0100
  [simclr+sigreg] epoch 82/120  nt-xent=5.1233  sigreg=0.0112
  [simclr+sigreg] epoch 83/120  nt-xent=5.1198  sigreg=0.0103
  [simclr+sigreg] epoch 84/120  nt-xent=5.1188  sigreg=0.0094
  [simclr+sigreg] epoch 85/120  nt-xent=5.1194  sigreg=0.0094
  [simclr+sigreg] epoch 86/120  nt-xent=5.1189  sigreg=0.0085
  [simclr+sigreg] epoch 87/120  nt-xent=5.1147  sigreg=0.0080
  [simclr+sigreg] epoch 88/120  nt-xent=5.1172  sigreg=0.0089
  [simclr+sigreg] epoch 89/120  nt-xent=5.1167  sigreg=0.0093
  [simclr+sigreg] epoch 90/120  nt-xent=5.1157  sigreg=0.0087
  [simclr+sigreg] epoch 91/120  nt-xent=5.1147  sigreg=0.0083
  [simclr+sigreg] epoch 92/120  nt-xent=5.1161  sigreg=0.0083
  [simclr+sigreg] epoch 93/120  nt-xent=5.1166  sigreg=0.0087
  [simclr+sigreg] epoch 94/120  nt-xent=5.1135  sigreg=0.0081
  [simclr+sigreg] epoch 95/120  nt-xent=5.1154  sigreg=0.0085
  [simclr+sigreg] epoch 96/120  nt-xent=5.1140  sigreg=0.0092
  [simclr+sigreg] epoch 97/120  nt-xent=5.1155  sigreg=0.0098
  [simclr+sigreg] epoch 98/120  nt-xent=5.1151  sigreg=0.0083
  [simclr+sigreg] epoch 99/120  nt-xent=5.1128  sigreg=0.0082
  [simclr+sigreg] epoch 100/120  nt-xent=5.1126  sigreg=0.0080
  [simclr+sigreg] epoch 101/120  nt-xent=5.1128  sigreg=0.0084
  [simclr+sigreg] epoch 102/120  nt-xent=5.1124  sigreg=0.0080
  [simclr+sigreg] epoch 103/120  nt-xent=5.1139  sigreg=0.0099
  [simclr+sigreg] epoch 104/120  nt-xent=5.1126  sigreg=0.0084
  [simclr+sigreg] epoch 105/120  nt-xent=5.1106  sigreg=0.0082
  [simclr+sigreg] epoch 106/120  nt-xent=5.1108  sigreg=0.0088
  [simclr+sigreg] epoch 107/120  nt-xent=5.1114  sigreg=0.0085
  [simclr+sigreg] epoch 108/120  nt-xent=5.1114  sigreg=0.0091
  [simclr+sigreg] epoch 109/120  nt-xent=5.1109  sigreg=0.0087
  [simclr+sigreg] epoch 110/120  nt-xent=5.1104  sigreg=0.0083
  [simclr+sigreg] epoch 111/120  nt-xent=5.1113  sigreg=0.0080
  [simclr+sigreg] epoch 112/120  nt-xent=5.1090  sigreg=0.0075
  [simclr+sigreg] epoch 113/120  nt-xent=5.1098  sigreg=0.0081
  [simclr+sigreg] epoch 114/120  nt-xent=5.1094  sigreg=0.0075
  [simclr+sigreg] epoch 115/120  nt-xent=5.1083  sigreg=0.0081
  [simclr+sigreg] epoch 116/120  nt-xent=5.1103  sigreg=0.0086
  [simclr+sigreg] epoch 117/120  nt-xent=5.1095  sigreg=0.0088
  [simclr+sigreg] epoch 118/120  nt-xent=5.1110  sigreg=0.0086
  [simclr+sigreg] epoch 119/120  nt-xent=5.1088  sigreg=0.0097
  [simclr+sigreg] epoch 120/120  nt-xent=5.1105  sigreg=0.0097
--- [dino] SupCon (aug) reference ---
  [supcon] epoch 1/120  loss=6.0734
  [supcon] epoch 2/120  loss=5.2005
  [supcon] epoch 3/120  loss=4.8999
  [supcon] epoch 4/120  loss=4.6950
  [supcon] epoch 5/120  loss=4.4969
  [supcon] epoch 6/120  loss=4.3369
  [supcon] epoch 7/120  loss=4.2015
  [supcon] epoch 8/120  loss=4.0495
  [supcon] epoch 9/120  loss=3.9200
  [supcon] epoch 10/120  loss=3.8032
  [supcon] epoch 11/120  loss=3.7044
  [supcon] epoch 12/120  loss=3.6146
  [supcon] epoch 13/120  loss=3.5453
  [supcon] epoch 14/120  loss=3.4967
  [supcon] epoch 15/120  loss=3.4469
  [supcon] epoch 16/120  loss=3.4001
  [supcon] epoch 17/120  loss=3.3679
  [supcon] epoch 18/120  loss=3.3343
  [supcon] epoch 19/120  loss=3.3258
  [supcon] epoch 20/120  loss=3.2937
  [supcon] epoch 21/120  loss=3.2780
  [supcon] epoch 22/120  loss=3.2719
  [supcon] epoch 23/120  loss=3.2607
  [supcon] epoch 24/120  loss=3.2460
  [supcon] epoch 25/120  loss=3.2234
  [supcon] epoch 26/120  loss=3.2320
  [supcon] epoch 27/120  loss=3.2187
  [supcon] epoch 28/120  loss=3.2083
  [supcon] epoch 29/120  loss=3.2021
  [supcon] epoch 30/120  loss=3.2066
  [supcon] epoch 31/120  loss=3.1909
  [supcon] epoch 32/120  loss=3.1932
  [supcon] epoch 33/120  loss=3.1893
  [supcon] epoch 34/120  loss=3.1793
  [supcon] epoch 35/120  loss=3.1758
  [supcon] epoch 36/120  loss=3.1762
  [supcon] epoch 37/120  loss=3.1676
  [supcon] epoch 38/120  loss=3.1719
  [supcon] epoch 39/120  loss=3.1631
  [supcon] epoch 40/120  loss=3.1557
  [supcon] epoch 41/120  loss=3.1541
  [supcon] epoch 42/120  loss=3.1610
  [supcon] epoch 43/120  loss=3.1494
  [supcon] epoch 44/120  loss=3.1488
  [supcon] epoch 45/120  loss=3.1462
  [supcon] epoch 46/120  loss=3.1474
  [supcon] epoch 47/120  loss=3.1433
  [supcon] epoch 48/120  loss=3.1399
  [supcon] epoch 49/120  loss=3.1387
  [supcon] epoch 50/120  loss=3.1417
  [supcon] epoch 51/120  loss=3.1478
  [supcon] epoch 52/120  loss=3.1378
  [supcon] epoch 53/120  loss=3.1343
  [supcon] epoch 54/120  loss=3.1401
  [supcon] epoch 55/120  loss=3.1353
  [supcon] epoch 56/120  loss=3.1383
  [supcon] epoch 57/120  loss=3.1345
  [supcon] epoch 58/120  loss=3.1345
  [supcon] epoch 59/120  loss=3.1345
  [supcon] epoch 60/120  loss=3.1358
  [supcon] epoch 61/120  loss=3.1373
  [supcon] epoch 62/120  loss=3.1292
  [supcon] epoch 63/120  loss=3.1234
  [supcon] epoch 64/120  loss=3.1290
  [supcon] epoch 65/120  loss=3.1295
  [supcon] epoch 66/120  loss=3.1253
  [supcon] epoch 67/120  loss=3.1264
  [supcon] epoch 68/120  loss=3.1212
  [supcon] epoch 69/120  loss=3.1208
  [supcon] epoch 70/120  loss=3.1222
  [supcon] epoch 71/120  loss=3.1228
  [supcon] epoch 72/120  loss=3.1236
  [supcon] epoch 73/120  loss=3.1225
  [supcon] epoch 74/120  loss=3.1202
  [supcon] epoch 75/120  loss=3.1167
  [supcon] epoch 76/120  loss=3.1180
  [supcon] epoch 77/120  loss=3.1217
  [supcon] epoch 78/120  loss=3.1159
  [supcon] epoch 79/120  loss=3.1160
  [supcon] epoch 80/120  loss=3.1173
  [supcon] epoch 81/120  loss=3.1142
  [supcon] epoch 82/120  loss=3.1169
  [supcon] epoch 83/120  loss=3.1182
  [supcon] epoch 84/120  loss=3.1180
  [supcon] epoch 85/120  loss=3.1172
  [supcon] epoch 86/120  loss=3.1104
  [supcon] epoch 87/120  loss=3.1177
  [supcon] epoch 88/120  loss=3.1167
  [supcon] epoch 89/120  loss=3.1110
  [supcon] epoch 90/120  loss=3.1074
  [supcon] epoch 91/120  loss=3.1139
  [supcon] epoch 92/120  loss=3.1184
  [supcon] epoch 93/120  loss=3.1128
  [supcon] epoch 94/120  loss=3.1128
  [supcon] epoch 95/120  loss=3.1102
  [supcon] epoch 96/120  loss=3.1187
  [supcon] epoch 97/120  loss=3.1068
  [supcon] epoch 98/120  loss=3.1101
  [supcon] epoch 99/120  loss=3.1115
  [supcon] epoch 100/120  loss=3.1144
  [supcon] epoch 101/120  loss=3.1083
  [supcon] epoch 102/120  loss=3.1096
  [supcon] epoch 103/120  loss=3.1087
  [supcon] epoch 104/120  loss=3.1092
  [supcon] epoch 105/120  loss=3.1068
  [supcon] epoch 106/120  loss=3.1079
  [supcon] epoch 107/120  loss=3.1060
  [supcon] epoch 108/120  loss=3.1089
  [supcon] epoch 109/120  loss=3.1026
  [supcon] epoch 110/120  loss=3.1116
  [supcon] epoch 111/120  loss=3.1080
  [supcon] epoch 112/120  loss=3.1078
  [supcon] epoch 113/120  loss=3.1116
  [supcon] epoch 114/120  loss=3.1078
  [supcon] epoch 115/120  loss=3.1104
  [supcon] epoch 116/120  loss=3.1051
  [supcon] epoch 117/120  loss=3.1031
  [supcon] epoch 118/120  loss=3.1081
  [supcon] epoch 119/120  loss=3.1087
  [supcon] epoch 120/120  loss=3.1073
--- [dino] supcon->res-hybrid (residual, augmented) ---
  [simclr-residual] epoch 1/120  loss=5.5850  sigreg=0.3662
  [simclr-residual] epoch 2/120  loss=5.3047  sigreg=0.0860
  [simclr-residual] epoch 3/120  loss=5.2504  sigreg=0.0395
  [simclr-residual] epoch 4/120  loss=5.2306  sigreg=0.0306
  [simclr-residual] epoch 5/120  loss=5.2174  sigreg=0.0223
  [simclr-residual] epoch 6/120  loss=5.2040  sigreg=0.0211
  [simclr-residual] epoch 7/120  loss=5.1955  sigreg=0.0186
  [simclr-residual] epoch 8/120  loss=5.1888  sigreg=0.0180
  [simclr-residual] epoch 9/120  loss=5.1762  sigreg=0.0150
  [simclr-residual] epoch 10/120  loss=5.1725  sigreg=0.0144
  [simclr-residual] epoch 11/120  loss=5.1694  sigreg=0.0135
  [simclr-residual] epoch 12/120  loss=5.1638  sigreg=0.0131
  [simclr-residual] epoch 13/120  loss=5.1609  sigreg=0.0133
  [simclr-residual] epoch 14/120  loss=5.1585  sigreg=0.0134
  [simclr-residual] epoch 15/120  loss=5.1530  sigreg=0.0120
  [simclr-residual] epoch 16/120  loss=5.1519  sigreg=0.0121
  [simclr-residual] epoch 17/120  loss=5.1490  sigreg=0.0122
  [simclr-residual] epoch 18/120  loss=5.1442  sigreg=0.0103
  [simclr-residual] epoch 19/120  loss=5.1445  sigreg=0.0104
  [simclr-residual] epoch 20/120  loss=5.1432  sigreg=0.0115
  [simclr-residual] epoch 21/120  loss=5.1426  sigreg=0.0113
  [simclr-residual] epoch 22/120  loss=5.1365  sigreg=0.0107
  [simclr-residual] epoch 23/120  loss=5.1366  sigreg=0.0108
  [simclr-residual] epoch 24/120  loss=5.1360  sigreg=0.0114
  [simclr-residual] epoch 25/120  loss=5.1363  sigreg=0.0108
  [simclr-residual] epoch 26/120  loss=5.1319  sigreg=0.0094
  [simclr-residual] epoch 27/120  loss=5.1323  sigreg=0.0108
  [simclr-residual] epoch 28/120  loss=5.1333  sigreg=0.0115
  [simclr-residual] epoch 29/120  loss=5.1318  sigreg=0.0120
  [simclr-residual] epoch 30/120  loss=5.1301  sigreg=0.0109
  [simclr-residual] epoch 31/120  loss=5.1269  sigreg=0.0102
  [simclr-residual] epoch 32/120  loss=5.1271  sigreg=0.0109
  [simclr-residual] epoch 33/120  loss=5.1248  sigreg=0.0102
