/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
exp51 [aircraft_lejepa_nplm-sup-ft] NPLM suite, dim=32, epochs=120, holdouts=[90, 91, 92, 93, 94, 95, 96, 97, 98, 99], lam=1.0, arms=['simclr', 'lejepa', 'simclr_sigreg', 'supcon', 'supcon_sigreg', 'nplm_bilinear', 'nplm_distance', 'nplm_sup_dist']
Fetching 37 files:   0%|          | 0/37 [00:00<?, ?it/s]Fetching 37 files: 100%|██████████| 37/37 [00:00<00:00, 143960.34it/s]
  loading ft trunk /home/pharris/sigreg/SuperSig/checkpoints/aircraft_ft_lejepa_nplm-sup-ft.pt
  extracted aircraft_lejepa_vitb16_nplm-sup-ft train: (6667, 768)
  extracted aircraft_lejepa_vitb16_nplm-sup-ft test: (3333, 768)
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 1/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 2/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 3/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 4/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 5/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 6/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 7/8
  aircraft_lejepa_vitb16_nplm-sup-ft aug replica 8/8
  train pool 6667 (seen bank 6000), test pool 3333 (333 holdout)

----- simclr (augmentations only) -----
  [sigreg-ssl] epoch 61/120  inv=0.0383  sigreg=0.0631
  [sigreg-ssl] epoch 62/120  inv=0.0376  sigreg=0.0635
  [sigreg-ssl] epoch 63/120  inv=0.0362  sigreg=0.0613
  [sigreg-ssl] epoch 64/120  inv=0.0379  sigreg=0.0597
  [sigreg-ssl] epoch 65/120  inv=0.0375  sigreg=0.0592
  [sigreg-ssl] epoch 66/120  inv=0.0391  sigreg=0.0596
  [sigreg-ssl] epoch 67/120  inv=0.0379  sigreg=0.0612
  [sigreg-ssl] epoch 68/120  inv=0.0377  sigreg=0.0578
  [sigreg-ssl] epoch 69/120  inv=0.0375  sigreg=0.0607
  [sigreg-ssl] epoch 70/120  inv=0.0382  sigreg=0.0571
  [sigreg-ssl] epoch 71/120  inv=0.0363  sigreg=0.0567
  [sigreg-ssl] epoch 72/120  inv=0.0378  sigreg=0.0550
  [sigreg-ssl] epoch 73/120  inv=0.0376  sigreg=0.0569
  [sigreg-ssl] epoch 74/120  inv=0.0362  sigreg=0.0582
  [sigreg-ssl] epoch 75/120  inv=0.0372  sigreg=0.0585
  [sigreg-ssl] epoch 76/120  inv=0.0367  sigreg=0.0557
  [sigreg-ssl] epoch 77/120  inv=0.0366  sigreg=0.0557
  [sigreg-ssl] epoch 78/120  inv=0.0363  sigreg=0.0585
  [sigreg-ssl] epoch 79/120  inv=0.0363  sigreg=0.0558
  [sigreg-ssl] epoch 80/120  inv=0.0360  sigreg=0.0560
  [sigreg-ssl] epoch 81/120  inv=0.0367  sigreg=0.0581
  [sigreg-ssl] epoch 82/120  inv=0.0385  sigreg=0.0538
  [sigreg-ssl] epoch 83/120  inv=0.0352  sigreg=0.0554
  [sigreg-ssl] epoch 84/120  inv=0.0363  sigreg=0.0504
  [sigreg-ssl] epoch 85/120  inv=0.0371  sigreg=0.0504
  [sigreg-ssl] epoch 86/120  inv=0.0375  sigreg=0.0554
  [sigreg-ssl] epoch 87/120  inv=0.0365  sigreg=0.0533
  [sigreg-ssl] epoch 88/120  inv=0.0360  sigreg=0.0540
  [sigreg-ssl] epoch 89/120  inv=0.0369  sigreg=0.0522
  [sigreg-ssl] epoch 90/120  inv=0.0363  sigreg=0.0535
  [sigreg-ssl] epoch 91/120  inv=0.0372  sigreg=0.0502
  [sigreg-ssl] epoch 92/120  inv=0.0350  sigreg=0.0515
  [sigreg-ssl] epoch 93/120  inv=0.0368  sigreg=0.0523
  [sigreg-ssl] epoch 94/120  inv=0.0366  sigreg=0.0551
  [sigreg-ssl] epoch 95/120  inv=0.0360  sigreg=0.0539
  [sigreg-ssl] epoch 96/120  inv=0.0360  sigreg=0.0535
  [sigreg-ssl] epoch 97/120  inv=0.0367  sigreg=0.0530
  [sigreg-ssl] epoch 98/120  inv=0.0356  sigreg=0.0510
  [sigreg-ssl] epoch 99/120  inv=0.0357  sigreg=0.0498
  [sigreg-ssl] epoch 100/120  inv=0.0355  sigreg=0.0521
  [sigreg-ssl] epoch 101/120  inv=0.0351  sigreg=0.0508
  [sigreg-ssl] epoch 102/120  inv=0.0358  sigreg=0.0504
  [sigreg-ssl] epoch 103/120  inv=0.0351  sigreg=0.0508
  [sigreg-ssl] epoch 104/120  inv=0.0355  sigreg=0.0510
  [sigreg-ssl] epoch 105/120  inv=0.0360  sigreg=0.0533
  [sigreg-ssl] epoch 106/120  inv=0.0358  sigreg=0.0517
  [sigreg-ssl] epoch 107/120  inv=0.0349  sigreg=0.0517
  [sigreg-ssl] epoch 108/120  inv=0.0354  sigreg=0.0517
  [sigreg-ssl] epoch 109/120  inv=0.0347  sigreg=0.0492
  [sigreg-ssl] epoch 110/120  inv=0.0359  sigreg=0.0485
  [sigreg-ssl] epoch 111/120  inv=0.0341  sigreg=0.0479
  [sigreg-ssl] epoch 112/120  inv=0.0348  sigreg=0.0501
  [sigreg-ssl] epoch 113/120  inv=0.0347  sigreg=0.0466
  [sigreg-ssl] epoch 114/120  inv=0.0357  sigreg=0.0473
  [sigreg-ssl] epoch 115/120  inv=0.0359  sigreg=0.0479
  [sigreg-ssl] epoch 116/120  inv=0.0352  sigreg=0.0481
  [sigreg-ssl] epoch 117/120  inv=0.0339  sigreg=0.0466
  [sigreg-ssl] epoch 118/120  inv=0.0341  sigreg=0.0464
  [sigreg-ssl] epoch 119/120  inv=0.0356  sigreg=0.0492
  [sigreg-ssl] epoch 120/120  inv=0.0335  sigreg=0.0487
  [lejepa        ] probe=0.7380+-0.0017 acc=0.1810 supAUC=0.8986 eucl=0.5017 mahaT=0.6393 mahaPC=0.6869

----- simclr_sigreg (augmentations only) -----
  [softmax/cosine] epoch 1/120  interaction=5.7432  marginal=0.8062
  [softmax/cosine] epoch 2/120  interaction=5.5163  marginal=0.6315
  [softmax/cosine] epoch 3/120  interaction=5.4809  marginal=0.4559
  [softmax/cosine] epoch 4/120  interaction=5.4583  marginal=0.3025
  [softmax/cosine] epoch 5/120  interaction=5.4401  marginal=0.1908
  [softmax/cosine] epoch 6/120  interaction=5.4228  marginal=0.1341
  [softmax/cosine] epoch 7/120  interaction=5.3954  marginal=0.1008
  [softmax/cosine] epoch 8/120  interaction=5.3711  marginal=0.0889
  [softmax/cosine] epoch 9/120  interaction=5.3540  marginal=0.0804
  [softmax/cosine] epoch 10/120  interaction=5.3377  marginal=0.0809
  [softmax/cosine] epoch 11/120  interaction=5.3271  marginal=0.0775
  [softmax/cosine] epoch 12/120  interaction=5.3181  marginal=0.0709
  [softmax/cosine] epoch 13/120  interaction=5.3103  marginal=0.0667
  [softmax/cosine] epoch 14/120  interaction=5.3053  marginal=0.0655
  [softmax/cosine] epoch 15/120  interaction=5.2942  marginal=0.0621
  [softmax/cosine] epoch 16/120  interaction=5.2926  marginal=0.0641
  [softmax/cosine] epoch 17/120  interaction=5.2830  marginal=0.0623
  [softmax/cosine] epoch 18/120  interaction=5.2768  marginal=0.0629
  [softmax/cosine] epoch 19/120  interaction=5.2751  marginal=0.0596
  [softmax/cosine] epoch 20/120  interaction=5.2694  marginal=0.0595
  [softmax/cosine] epoch 21/120  interaction=5.2651  marginal=0.0544
  [softmax/cosine] epoch 22/120  interaction=5.2611  marginal=0.0568
  [softmax/cosine] epoch 23/120  interaction=5.2555  marginal=0.0551
  [softmax/cosine] epoch 24/120  interaction=5.2555  marginal=0.0538
  [softmax/cosine] epoch 25/120  interaction=5.2520  marginal=0.0537
  [softmax/cosine] epoch 26/120  interaction=5.2515  marginal=0.0520
  [softmax/cosine] epoch 27/120  interaction=5.2468  marginal=0.0535
  [softmax/cosine] epoch 28/120  interaction=5.2437  marginal=0.0494
  [softmax/cosine] epoch 29/120  interaction=5.2412  marginal=0.0520
  [softmax/cosine] epoch 30/120  interaction=5.2372  marginal=0.0535
  [softmax/cosine] epoch 31/120  interaction=5.2338  marginal=0.0490
  [softmax/cosine] epoch 32/120  interaction=5.2310  marginal=0.0468
  [softmax/cosine] epoch 33/120  interaction=5.2281  marginal=0.0488
  [softmax/cosine] epoch 34/120  interaction=5.2246  marginal=0.0449
  [softmax/cosine] epoch 35/120  interaction=5.2226  marginal=0.0448
  [softmax/cosine] epoch 36/120  interaction=5.2182  marginal=0.0421
  [softmax/cosine] epoch 37/120  interaction=5.2116  marginal=0.0415
  [softmax/cosine] epoch 38/120  interaction=5.2124  marginal=0.0407
  [softmax/cosine] epoch 39/120  interaction=5.2150  marginal=0.0405
  [softmax/cosine] epoch 40/120  interaction=5.2076  marginal=0.0402
  [softmax/cosine] epoch 41/120  interaction=5.2069  marginal=0.0419
  [softmax/cosine] epoch 42/120  interaction=5.2053  marginal=0.0407
  [softmax/cosine] epoch 43/120  interaction=5.2052  marginal=0.0406
  [softmax/cosine] epoch 44/120  interaction=5.2011  marginal=0.0382
  [softmax/cosine] epoch 45/120  interaction=5.1987  marginal=0.0364
  [softmax/cosine] epoch 46/120  interaction=5.1994  marginal=0.0398
  [softmax/cosine] epoch 47/120  interaction=5.1964  marginal=0.0383
  [softmax/cosine] epoch 48/120  interaction=5.1947  marginal=0.0371
  [softmax/cosine] epoch 49/120  interaction=5.1935  marginal=0.0374
  [softmax/cosine] epoch 50/120  interaction=5.1955  marginal=0.0372
  [softmax/cosine] epoch 51/120  interaction=5.1890  marginal=0.0352
  [softmax/cosine] epoch 52/120  interaction=5.1903  marginal=0.0374
  [softmax/cosine] epoch 53/120  interaction=5.1917  marginal=0.0372
  [softmax/cosine] epoch 54/120  interaction=5.1887  marginal=0.0374
  [softmax/cosine] epoch 55/120  interaction=5.1884  marginal=0.0367
  [softmax/cosine] epoch 56/120  interaction=5.1855  marginal=0.0362
