/home/pharris/venv/lib64/python3.9/site-packages/networkx/utils/backends.py:135: RuntimeWarning: networkx backend defined more than once: nx-loopback
  backends.update(_get_backends("networkx.backends"))
Using cache found in /home/pharris/.cache/torch/hub/facebookresearch_dino_main
exp51 [aircraft_dino_nplm-sup-ft] NPLM suite, dim=32, epochs=120, holdouts=[90, 91, 92, 93, 94, 95, 96, 97, 98, 99], lam=1.0, arms=['simclr', 'lejepa', 'simclr_sigreg', 'supcon', 'supcon_sigreg', 'nplm_bilinear', 'nplm_distance', 'nplm_sup_dist']
  loading ft trunk /home/pharris/sigreg/SuperSig/checkpoints/aircraft_ft_dino_nplm-sup-ft.pt
  aircraft_dino_vitb16_nplm-sup-ft aug replica 1/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 2/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 3/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 4/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 5/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 6/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 7/8
  aircraft_dino_vitb16_nplm-sup-ft aug replica 8/8
  train pool 6667 (seen bank 6000), test pool 3333 (333 holdout)

----- simclr (augmentations only) -----
  [softmax/cosine] epoch 15/120  interaction=5.2503  marginal=0.0385
  [softmax/cosine] epoch 16/120  interaction=5.2456  marginal=0.0404
  [softmax/cosine] epoch 17/120  interaction=5.2423  marginal=0.0389
  [softmax/cosine] epoch 18/120  interaction=5.2323  marginal=0.0356
  [softmax/cosine] epoch 19/120  interaction=5.2302  marginal=0.0359
  [softmax/cosine] epoch 20/120  interaction=5.2306  marginal=0.0360
  [softmax/cosine] epoch 21/120  interaction=5.2213  marginal=0.0323
  [softmax/cosine] epoch 22/120  interaction=5.2157  marginal=0.0320
  [softmax/cosine] epoch 23/120  interaction=5.2151  marginal=0.0337
  [softmax/cosine] epoch 24/120  interaction=5.2108  marginal=0.0310
  [softmax/cosine] epoch 25/120  interaction=5.2081  marginal=0.0316
  [softmax/cosine] epoch 26/120  interaction=5.2055  marginal=0.0310
  [softmax/cosine] epoch 27/120  interaction=5.1990  marginal=0.0272
  [softmax/cosine] epoch 28/120  interaction=5.1962  marginal=0.0248
  [softmax/cosine] epoch 29/120  interaction=5.1927  marginal=0.0274
  [softmax/cosine] epoch 30/120  interaction=5.1925  marginal=0.0274
  [softmax/cosine] epoch 31/120  interaction=5.1911  marginal=0.0287
  [softmax/cosine] epoch 32/120  interaction=5.1893  marginal=0.0260
  [softmax/cosine] epoch 33/120  interaction=5.1882  marginal=0.0275
  [softmax/cosine] epoch 34/120  interaction=5.1884  marginal=0.0275
  [softmax/cosine] epoch 35/120  interaction=5.1848  marginal=0.0267
  [softmax/cosine] epoch 36/120  interaction=5.1778  marginal=0.0247
  [softmax/cosine] epoch 37/120  interaction=5.1777  marginal=0.0234
  [softmax/cosine] epoch 38/120  interaction=5.1733  marginal=0.0239
  [softmax/cosine] epoch 39/120  interaction=5.1771  marginal=0.0259
  [softmax/cosine] epoch 40/120  interaction=5.1739  marginal=0.0243
  [softmax/cosine] epoch 41/120  interaction=5.1731  marginal=0.0254
  [softmax/cosine] epoch 42/120  interaction=5.1704  marginal=0.0227
  [softmax/cosine] epoch 43/120  interaction=5.1667  marginal=0.0228
  [softmax/cosine] epoch 44/120  interaction=5.1704  marginal=0.0266
  [softmax/cosine] epoch 45/120  interaction=5.1735  marginal=0.0257
  [softmax/cosine] epoch 46/120  interaction=5.1725  marginal=0.0272
  [softmax/cosine] epoch 47/120  interaction=5.1700  marginal=0.0268
  [softmax/cosine] epoch 48/120  interaction=5.1662  marginal=0.0265
  [softmax/cosine] epoch 49/120  interaction=5.1618  marginal=0.0231
  [softmax/cosine] epoch 50/120  interaction=5.1609  marginal=0.0242
  [softmax/cosine] epoch 51/120  interaction=5.1580  marginal=0.0223
  [softmax/cosine] epoch 52/120  interaction=5.1577  marginal=0.0217
  [softmax/cosine] epoch 53/120  interaction=5.1617  marginal=0.0258
  [softmax/cosine] epoch 54/120  interaction=5.1576  marginal=0.0237
  [softmax/cosine] epoch 55/120  interaction=5.1565  marginal=0.0244
  [softmax/cosine] epoch 56/120  interaction=5.1596  marginal=0.0263
  [softmax/cosine] epoch 57/120  interaction=5.1625  marginal=0.0261
  [softmax/cosine] epoch 58/120  interaction=5.1536  marginal=0.0235
  [softmax/cosine] epoch 59/120  interaction=5.1504  marginal=0.0213
  [softmax/cosine] epoch 60/120  interaction=5.1483  marginal=0.0205
  [softmax/cosine] epoch 61/120  interaction=5.1476  marginal=0.0209
  [softmax/cosine] epoch 62/120  interaction=5.1494  marginal=0.0211
  [softmax/cosine] epoch 63/120  interaction=5.1477  marginal=0.0217
  [softmax/cosine] epoch 64/120  interaction=5.1468  marginal=0.0213
  [softmax/cosine] epoch 65/120  interaction=5.1458  marginal=0.0202
  [softmax/cosine] epoch 66/120  interaction=5.1432  marginal=0.0211
  [softmax/cosine] epoch 67/120  interaction=5.1432  marginal=0.0206
  [softmax/cosine] epoch 68/120  interaction=5.1433  marginal=0.0220
  [softmax/cosine] epoch 69/120  interaction=5.1435  marginal=0.0225
  [softmax/cosine] epoch 70/120  interaction=5.1383  marginal=0.0212
  [softmax/cosine] epoch 71/120  interaction=5.1353  marginal=0.0194
  [softmax/cosine] epoch 72/120  interaction=5.1401  marginal=0.0207
  [softmax/cosine] epoch 73/120  interaction=5.1417  marginal=0.0200
  [softmax/cosine] epoch 74/120  interaction=5.1367  marginal=0.0196
  [softmax/cosine] epoch 75/120  interaction=5.1355  marginal=0.0191
  [softmax/cosine] epoch 76/120  interaction=5.1332  marginal=0.0198
  [softmax/cosine] epoch 77/120  interaction=5.1345  marginal=0.0205
  [softmax/cosine] epoch 78/120  interaction=5.1378  marginal=0.0213
  [softmax/cosine] epoch 79/120  interaction=5.1387  marginal=0.0213
  [softmax/cosine] epoch 80/120  interaction=5.1362  marginal=0.0222
  [softmax/cosine] epoch 81/120  interaction=5.1379  marginal=0.0224
  [softmax/cosine] epoch 82/120  interaction=5.1355  marginal=0.0223
  [softmax/cosine] epoch 83/120  interaction=5.1309  marginal=0.0204
  [softmax/cosine] epoch 84/120  interaction=5.1301  marginal=0.0185
  [softmax/cosine] epoch 85/120  interaction=5.1322  marginal=0.0197
  [softmax/cosine] epoch 86/120  interaction=5.1338  marginal=0.0207
  [softmax/cosine] epoch 87/120  interaction=5.1316  marginal=0.0200
  [softmax/cosine] epoch 88/120  interaction=5.1277  marginal=0.0180
  [softmax/cosine] epoch 89/120  interaction=5.1266  marginal=0.0200
  [softmax/cosine] epoch 90/120  interaction=5.1289  marginal=0.0192
  [softmax/cosine] epoch 91/120  interaction=5.1277  marginal=0.0202
  [softmax/cosine] epoch 92/120  interaction=5.1257  marginal=0.0183
  [softmax/cosine] epoch 93/120  interaction=5.1255  marginal=0.0187
  [softmax/cosine] epoch 94/120  interaction=5.1235  marginal=0.0175
  [softmax/cosine] epoch 95/120  interaction=5.1241  marginal=0.0193
  [softmax/cosine] epoch 96/120  interaction=5.1257  marginal=0.0201
  [softmax/cosine] epoch 97/120  interaction=5.1223  marginal=0.0177
  [softmax/cosine] epoch 98/120  interaction=5.1231  marginal=0.0184
  [softmax/cosine] epoch 99/120  interaction=5.1237  marginal=0.0188
  [softmax/cosine] epoch 100/120  interaction=5.1227  marginal=0.0180
  [softmax/cosine] epoch 101/120  interaction=5.1230  marginal=0.0189
  [softmax/cosine] epoch 102/120  interaction=5.1246  marginal=0.0210
  [softmax/cosine] epoch 103/120  interaction=5.1213  marginal=0.0181
  [softmax/cosine] epoch 104/120  interaction=5.1207  marginal=0.0183
  [softmax/cosine] epoch 105/120  interaction=5.1208  marginal=0.0195
  [softmax/cosine] epoch 106/120  interaction=5.1189  marginal=0.0179
  [softmax/cosine] epoch 107/120  interaction=5.1179  marginal=0.0176
  [softmax/cosine] epoch 108/120  interaction=5.1161  marginal=0.0166
  [softmax/cosine] epoch 109/120  interaction=5.1158  marginal=0.0179
  [softmax/cosine] epoch 110/120  interaction=5.1159  marginal=0.0175
